1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
Geodude,74,1,Global,3,Wild,,,Graveler,25,1,31,Linear - 1,,,,,,,,Rock,Ground,Rock / Ground,Partly Cloudy,Clear,132,163,80,1023,1193,1,2,,Rock Throw,Tackle,Rock Throw / Tackle,Rock Slide,Rock Tomb,Dig,,,,,Rock Slide / Rock Tomb / Dig,,,,,,,,,,,,,,,
Graveler,75,1,Global,4,Wild,,Geodude,Golem,100,2,31,Linear - 2,,,,,,,,Rock,Ground,Rock / Ground,Partly Cloudy,Clear,164,196,110,1556,1815,1,,,Rock Throw,Mud Slap,Rock Throw / Mud Slap,Dig,Stone Edge,Rock Blast,,,,,Dig / Stone Edge / Rock Blast,,,,,,,,,,,,,,,
Golem,76,1,Global,6,Wild,4,Graveler,,-,3,31,Linear - 3,,,,,,,,Rock,Ground,Rock / Ground,Partly Cloudy,Clear,211,229,160,2500,2916,1,,,Rock Throw,Mud Slap,Rock Throw / Mud Slap,Stone Edge,Rock Blast,Earthquake,,,,,Stone Edge / Rock Blast / Earthquake,,,30572,1589,1666,,,,,,,,,,
Ponyta,77,1,Global,4,Wild,,,Rapidash,50,1,32,Linear - 1,,,,,,,,Fire,,Fire,Clear,,170,132,100,1288,1502,3,5,,Tackle,Ember,Tackle / Ember,Flame Charge,Flame Wheel,Stomp,,,,,Flame Charge / Flame Wheel / Stomp,,,,,,,,,,,,,,,
Rapidash,78,1,Global,6,Wild,,Ponyta,,-,2,32,Linear - 2,,,,,,,,Fire,,Fire,Clear,,207,167,130,1931,2252,3,,,Low Kick,Fire Spin,Low Kick / Fire Spin,Fire Blast,Drill Run,Heat Wave,,,,,Fire Blast / Drill Run / Heat Wave,,,,,,,,,,,,,,,
Slowpoke,79,1,Global,3,Wild,,,Slowbro / Slowking,50,1,33,Linear - 1,Alt - 2,,,,,,,Water,Psychic,Water / Psychic,Rain,Windy,109,109,180,1032,1204,3,2,,Water Gun,Confusion,Water Gun / Confusion,Psychic,Water Pulse,Psyshock,,,,,Psychic / Water Pulse / Psyshock,,,,,,,,,,,,,,,
Slowbro,80,1,Global,5,Wild,,Slowpoke,,-,2,33,Linear - 2,Alt - 2,,,,,,,Water,Psychic,Water / Psychic,Rain,Windy,177,194,190,2128,2482,3,,,Water Gun,Confusion,Water Gun / Confusion,Psychic,Water Pulse,Ice Beam,,,,,Psychic / Water Pulse / Ice Beam,,,,,,,,,,,,,,,
Magnemite,81,1,Global,3,Wild,,,Magneton,50,1,34,Linear - 1,,,Linear - 3,,,,,Electric,Steel,Electric / Steel,Rain,Snow,165,128,50,928,1083,3,,,Spark,Thunder Shock,Spark / Thunder Shock,Discharge,Magnet Bomb,Thunderbolt,,,,,Discharge / Magnet Bomb / Thunderbolt,,,,,,,,,,,,,,,
Magneton,82,1,Global,5,Wild,2,Magnemite,Magnezone,-,2,34,Linear - 2,,,Linear - 3,,,,,Electric,Steel,Electric / Steel,Rain,Snow,223,182,100,1918,2237,3,,,Spark,Charge Beam,Spark / Charge Beam,Zap Cannon,Magnet Bomb,Flash Cannon,,,,,Zap Cannon / Magnet Bomb / Flash Cannon,,,14172,1208,1278,,,,,,,,,,
Farfetch'd,83,1,Asia,5,Wild,,,,-,1,35,Solo,,,,,,,,Normal,Flying,Normal / Flying,Partly Cloudy,Windy,124,118,104,936,1092,3,,,Air Slash,Fury Cutter,Air Slash / Fury Cutter,Air Cutter,Aerial Ace,Leaf Blade,,,,,Air Cutter / Aerial Ace / Leaf Blade,,,,,,,,,,,,,,,
Doduo,84,1,Global,4,Wild,,,Dodrio,50,1,36,Linear - 1,,,,,,,,Normal,Flying,Normal / Flying,Partly Cloudy,Windy,158,88,70,867,1011,3,,,Peck,Quick Attack,Peck / Quick Attack,Drill Peck,Aerial Ace,Brave Bird,,,,,Drill Peck / Aerial Ace / Brave Bird,,,,,,,,,,,,,,,
Dodrio,85,1,Global,6,Wild,,Doduo,,-,2,36,Linear - 2,,,,,,,,Normal,Flying,Normal / Flying,Partly Cloudy,Windy,218,145,120,1833,2138,3,,,Steel Wing,Feint Attack,Steel Wing / Feint Attack,Drill Peck,Aerial Ace,Brave Bird,,,,,Drill Peck / Aerial Ace / Brave Bird,,,,,,,,,,,,,,,
Seel,86,1,Global,3,Wild,,,Dewgong,50,1,37,Linear - 1,,,,,,,,Water,,Water,Rain,,85,128,130,771,899,3,5,,Ice Shard,Lick,Ice Shard / Lick,Aurora Beam,Icy Wind,Aqua Tail,,,,,Aurora Beam / Icy Wind / Aqua Tail,,,,,,,,,,,,,,,
Dewgong,87,1,Global,4,Wild,,Seel,,-,2,37,Linear - 2,,,,,,,,Water,Ice,Water / Ice,Rain,Snow,139,184,180,1624,1894,3,,,Frost Breath,Iron Tail,Frost Breath / Iron Tail,Aurora Beam,Water Pulse,Blizzard,,,,,Aurora Beam / Water Pulse / Blizzard,,,,,,,,,,,,,,,
Grimer,88,1,Global,5,Wild,,,Muk,50,1,38,Linear - 1,,,,,,,,Poison,,Poison,Cloudy,,135,90,160,1088,1269,3,5,,Poison Jab,Mud Slap,Poison Jab / Mud Slap,Sludge,Sludge Bomb,Mud Bomb,,,,,Sludge / Sludge Bomb / Mud Bomb,,,,,,,,,,,,,,,
Muk,89,1,Global,6,Wild,,Grimer,,-,2,38,Linear - 2,,,,,,,,Poison,,Poison,Cloudy,,190,184,210,2322,2709,3,,,Infestation,Poison Jab,Infestation / Poison Jab,Sludge Wave,Sludge Bomb,Dark Pulse,,,,,Sludge Wave / Sludge Bomb / Dark Pulse,,,,,,,,,,,,,,,
Shellder,90,1,Global,3,Wild,,,Cloyster,50,1,39,Linear - 1,,,,,,,,Water,,Water,Rain,,116,168,60,821,958,3,5,,Ice Shard,Tackle,Ice Shard / Tackle,Icy Wind,Water Pulse,Bubble Beam,,,,,Icy Wind / Water Pulse / Bubble Beam,,,,,,,,,,,,,,,
Cloyster,91,1,Global,5,Wild,2,Shellder,,-,2,39,Linear - 2,,,,,,,,Water,Ice,Water / Ice,Rain,Snow,186,323,100,2122,2475,3,,,Ice Shard,Frost Breath,Ice Shard / Frost Breath,Aurora Beam,Hydro Pump,Avalanche,,,,,Aurora Beam / Hydro Pump / Avalanche,,,15678,1338,1414,,,,,,,,,,
Gastly,92,1,Global,3,Wild,,,Haunter,25,1,40,Linear - 1,,,,,,,,Ghost,Poison,Ghost / Poison,Fog,Cloudy,186,70,60,859,1002,3,2,,Lick,Astonish,Lick / Astonish,Night Shade,Dark Pulse,Sludge Bomb,,,,,Night Shade / Dark Pulse / Sludge Bomb,,,,,,,,,,,,,,,
Haunter,93,1,Global,4,Wild,,Gastly,Gengar,100,2,40,Linear - 2,,,,,,,,Ghost,Poison,Ghost / Poison,Fog,Cloudy,223,112,90,1471,1716,3,,,Shadow Claw,Astonish,Shadow Claw / Astonish,Shadow Punch,Dark Pulse,Sludge Bomb,,,,,Shadow Punch / Dark Pulse / Sludge Bomb,,,,,,,,,,,,,,,
Gengar,94,1,Global,5,Wild,3,Haunter,,-,3,40,Linear - 3,,,,,,,,Ghost,Poison,Ghost / Poison,Fog,Cloudy,261,156,120,2245,2619,3,,,Sucker Punch,Hex,Sucker Punch / Hex,Shadow Ball,Focus Blast,Sludge Bomb,,,,,Shadow Ball / Focus Blast / Sludge Bomb,,,19768,1420,1496,,,,,,,,,,
Onix,95,1,Global,4,Wild,,,Steelix,-,1,41,Solo,,,,,,,,Rock,Ground,Rock / Ground,Partly Cloudy,Clear,85,288,70,859,1002,5,5,,Rock Throw,Tackle,Rock Throw / Tackle,Sand Tomb,Stone Edge,Heavy Slam,,,,,Sand Tomb / Stone Edge / Heavy Slam,,,,,,,,,,,,,,,
Drowzee,96,1,Global,2,Wild,,,Hypno,50,1,42,Linear - 1,,,,,,,,Psychic,,Psychic,Windy,,89,158,120,850,992,3,5,,Pound,Confusion,Pound / Confusion,Psybeam,Psyshock,Psychic,,,,,Psybeam / Psyshock / Psychic,,,,,,,,,,,,,,,
Hypno,97,1,Global,4,Wild,,Drowzee,,-,2,42,Linear - 2,,,,,,,,Psychic,,Psychic,Windy,,144,215,170,1756,2048,3,,,Zen Headbutt,Confusion,Zen Headbutt / Confusion,Futuresight,Psychic,Focus Blast,,,,,Futuresight / Psychic / Focus Blast,,,,,,,,,,,,,,,
Krabby,98,1,Global,2,Wild,,,Kingler,50,1,43,Linear - 1,,,,,,,,Water,,Water,Rain,,181,156,60,1188,1386,3,2,,Bubble,Mud Shot,Bubble / Mud Shot,Vice Grip,Water Pulse,Bubble Beam,,,,,Vice Grip / Water Pulse / Bubble Beam,,,,,,,,,,,,,,,
Kingler,99,1,Global,4,Wild,,Krabby,,-,2,43,Linear - 2,,,,,,,,Water,,Water,Rain,,240,214,110,2310,2694,3,,,Bubble,Metal Claw,Bubble / Metal Claw,Vice Grip,Water Pulse,X-Scissor,,,,,Vice Grip / Water Pulse / X-Scissor,,,,,,,,,,,,,,,
Voltorb,100,1,Global,4,Wild,,,Electrode,50,1,44,Linear - 1,,,,,,,,Electric,,Electric,Rain,,109,114,80,735,857,3,5,,Spark,Tackle,Spark / Tackle,Discharge,Thunderbolt,Gyro Ball,,,,,Discharge / Thunderbolt / Gyro Ball,,,,,,,,,,,,,,,
Electrode,101,1,Global,5,Wild,,Voltorb,,-,2,44,Linear - 2,,,,,,,,Electric,,Electric,Rain,,173,179,120,1629,1900,3,,,Spark,Volt Switch,Spark / Volt Switch,Discharge,Thunderbolt,Hyper Beam,,,,,Discharge / Thunderbolt / Hyper Beam,,,,,,,,,,,,,,,
Exeggcute,102,1,Global,3,Wild,,,Exeggutor,50,1,45,Linear - 1,,,,,,Alt - 2,,Grass,Psychic,Grass / Psychic,Clear,Windy,107,140,120,945,1102,3,2,,Confusion,Bullet Seed,Confusion / Bullet Seed,Psychic,Seed Bomb,Ancient Power,,,,,Psychic / Seed Bomb / Ancient Power,,,,,,,,,,,,,,,
Exeggutor,103,1,Global,6,Wild,,Exeggcute,,-,2,45,Linear - 2,,,,,,Alt - 2,,Grass,Psychic,Grass / Psychic,Clear,Windy,233,158,190,2500,2916,3,,,Bullet Seed,Extrasensory,Bullet Seed / Extrasensory,Psychic,Seed Bomb,Solar Beam,,,,,Psychic / Seed Bomb / Solar Beam,,,,,,,,,,,,,,,
Cubone,104,1,Global,3,Wild,,,Marowak,50,1,46,Linear - 1,,,,,,Alt - 2,,Ground,,Ground,Clear,,90,165,100,808,943,3,5,,Rock Smash,Mud Slap,Rock Smash / Mud Slap,Bone Club,Dig,Bulldoze,,,,,Bone Club / Dig / Bulldoze,,,,,,,,,,,,,,,
Marowak,105,1,Global,6,Wild,2,Cubone,,-,2,46,Linear - 2,,,,,,Alt - 2,,Ground,,Ground,Clear,,144,200,120,1450,1691,3,,,Rock Smash,Mud Slap,Rock Smash / Mud Slap,Bone Club,Dig,Earthquake,,,,,Bone Club / Dig / Earthquake,,,9891,908,966,,,,,,,,,,
Hitmonlee,106,1,Global,6,Wild,,Tyrogue,,-,1,47,Solo,Baby / Alt,,,,,,,Fighting,,Fighting,Cloudy,,224,211,100,2063,2406,5,,,Low Kick,Rock Smash,Low Kick / Rock Smash,Close Combat,Low Sweep,Stone Edge,,,,,Close Combat / Low Sweep / Stone Edge,,,,,,,,,,,,,,,
Hitmonchan,107,1,Global,6,Wild,,Tyrogue,,-,1,48,Solo,Baby / Alt,,,,,,,Fighting,,Fighting,Cloudy,,193,212,100,1799,2098,5,,,Bullet Punch,Counter,Bullet Punch / Counter,Fire Punch,Ice Punch,Thunder Punch,Close Combat,,,,Fire Punch / Ice Punch / Thunder Punch / Close Combat,,,,,,,,,,,,,,,
Lickitung,108,1,Global,5,Wild,,,Lickilicky,,1,49,Solo,,,Linear - 2,,,,,Normal,,Normal,Partly Cloudy,,108,137,180,1133,1322,3,5,,Lick,Zen Headbutt,Lick / Zen Headbutt,Hyper Beam,Stomp,Power Whip,,,,,Hyper Beam / Stomp / Power Whip,,,,,,,,,,,,,,,
Koffing,109,1,Global,3,Wild,,,Weezing,50,1,50,Linear - 1,,,,,,,,Poison,,Poison,Cloudy,,119,164,80,935,1091,3,5,,Tackle,Infestation,Tackle / Infestation,Dark Pulse,Sludge,Sludge Bomb,,,,,Dark Pulse / Sludge / Sludge Bomb,,,,,,,,,,,,,,,
Weezing,110,1,Global,6,Wild,,Koffing,,-,2,50,Linear - 2,,,,,,,,Poison,,Poison,Cloudy,,174,221,130,1871,2183,3,,,Tackle,Infestation,Tackle / Infestation,Dark Pulse,Shadow Ball,Sludge Bomb,,,,,Dark Pulse / Shadow Ball / Sludge Bomb,,,,,,,,,,,,,,,
Rhyhorn,111,1,Global,3,Wild,,,Rhydon,50,1,51,Linear - 1,,,Linear - 3,,,,,Ground,Rock,Ground / Rock,Clear,Partly Cloudy,140,157,160,1439,1679,3,5,,Rock Smash,Mud Slap,Rock Smash / Mud Slap,Bulldoze,Stomp,Horn Attack,,,,,Bulldoze / Stomp / Horn Attack,,,,,,,,,,,,,,,
Rhydon,112,1,Global,5,Wild,,Rhyhorn,Rhyperior,,2,51,Linear - 2,,,Linear - 3,,,,,Ground,Rock,Ground / Rock,Clear,Partly Cloudy,222,206,210,2829,3300,3,,,Rock Smash,Mud Slap,Rock Smash / Mud Slap,Earthquake,Stone Edge,Surf,,,,,Earthquake / Stone Edge / Surf,,,,,,,,,,,,,,,
Chansey,113,1,Global,6,Wild,,Happiny,Blissey,,1,52,Solo,Linear - 2,,Baby,,,,,Normal,,Normal,Partly Cloudy,,60,176,500,1259,1469,5,10,,Pound,Zen Headbutt,Pound / Zen Headbutt,Dazzling Gleam,Hyper Beam,Psychic,,,,,Dazzling Gleam / Hyper Beam / Psychic,,,,,,,,,,,,,,,
Tangela,114,1,Global,6,Wild,,,Tangrowth,,1,53,Solo,,,Linear - 2,,,,,Grass,,Grass,Clear,,183,205,130,1893,2208,3,5,,Vine Whip,Infestation,Vine Whip / Infestation,Grass Knot,Sludge Bomb,Solar Beam,,,,,Grass Knot / Sludge Bomb / Solar Beam,,,,,,,,,,,,,,,
Kangaskhan,115,1,AUS,5,Wild,,,,-,1,54,Solo,,,,,,,,Normal,,Normal,Partly Cloudy,,181,165,210,2112,2463,3,,,Low Kick,Mud Slap,Low Kick / Mud Slap,Crunch,Earthquake,Outrage,,,,,Crunch / Earthquake / Outrage,,,,,,,,,,,,,,,
Horsea,116,1,Global,2,Wild,,,Seadra,50,1,55,Linear - 1,Linear - 3,,,,,,,Water,,Water,Rain,,129,125,60,790,921,3,,,Water Gun,Bubble,Water Gun / Bubble,Bubble Beam,Dragon Pulse,Flash Cannon,,,,,Bubble Beam / Dragon Pulse / Flash Cannon,,,,,,,,,,,,,,,
Seadra,117,1,Global,4,Wild,,Horsea,Kingdra,,2,55,Linear - 2,Linear - 3,,,,,,,Water,,Water,Rain,,187,182,110,1697,1979,3,,,Water Gun,Dragon Breath,Water Gun / Dragon Breath,Aurora Beam,Dragon Pulse,Hydro Pump,,,,,Aurora Beam / Dragon Pulse / Hydro Pump,,,,,,,,,,,,,,,
Goldeen,118,1,Global,3,Wild,,,Seaking,50,1,56,Linear - 1,,,,,,,,Water,,Water,Rain,,123,115,90,862,1006,3,,,Mud Shot,Peck,Mud Shot / Peck,Aqua Tail,Horn Attack,Water Pulse,,,,,Aqua Tail / Horn Attack / Water Pulse,,,,,,,,,,,,,,,
Seaking,119,1,Global,4,Wild,,Goldeen,,,2,56,Linear - 2,,,,,,,,Water,,Water,Rain,,175,154,160,1749,2040,3,,,Waterfall,Peck,Waterfall / Peck,Ice Beam,Water Pulse,Megahorn,,,,,Ice Beam / Water Pulse / Megahorn,,,,,,,,,,,,,,,
Staryu,120,1,Global,3,Wild,,,Starmie,50,1,57,Linear - 1,,,,,,,,Water,,Water,Rain,,137,112,60,794,926,3,,,Water Gun,Tackle,Water Gun / Tackle,Bubble Beam,Power Gem,Swift,,,,,Bubble Beam / Power Gem / Swift,,,,,,,,,,,,,,,
Starmie,121,1,Global,4,Wild,,Staryu,,,2,57,Linear - 2,,,,,,,,Water,Psychic,Water / Psychic,Rain,Windy,210,184,120,1974,2303,3,,,Hidden Power,Water Gun,Hidden Power / Water Gun,Hydro Pump,Power Gem,Psychic,,,,,Hydro Pump / Power Gem / Psychic,,,,,,,,,,,,,,,
Mr. Mime,122,1,EUR,5,Wild,,Mime Jr,,,1,58,Solo,,,Baby,,,,,Psychic,Fairy,Psychic / Fairy,Windy,Cloudy,192,233,80,1701,1984,5,,,Confusion,Zen Headbutt,Confusion / Zen Headbutt,Shadow Ball,Psybeam,Psychic,,,,,Shadow Ball / Psybeam / Psychic,,,,,,,,,,,,,,,
Scyther,123,1,Global,4,Wild,3,,Scizor,,1,59,Solo,Linear - 2,,,,,,,Bug,Flying,Bug / Flying,Rain,Windy,218,170,140,2112,2464,5,5,,Fury Cutter,Air Slash,Fury Cutter / Air Slash,Night Slash,Aerial Ace,,,,,,Night Slash / Aerial Ace,,,17358,1337,1408,,,,,,,,,,
Jynx,124,1,Global,3,Wild,,Smoochum,,,1,60,Solo,Baby,,,,,,,Ice,Psychic,Ice / Psychic,Snow,Windy,223,182,130,2154,2512,5,,,Frost Breath,Confusion,Frost Breath / Confusion,Draining Kiss,Avalanche,Psyshock,,,,,Draining Kiss / Avalanche / Psyshock,,,,,,,,,,,,,,,
Electabuzz,125,1,Global,3,Wild,,Elekid,Electivire,,1,61,Solo,Baby,,Linear - 2,,,,,Electric,,Electric,Rain,,198,173,130,1883,2196,5,,,Low Kick,Thunder Shock,Low Kick / Thunder Shock,Thunderbolt,Thunder,Thunder Punch,,,,,Thunderbolt / Thunder / Thunder Punch,,,,,,,,,,,,,,,
Magmar,126,1,Global,4,Wild,,Magby,Magmortar,,1,62,Solo,Baby,,Linear - 2,,,,,Fire,,Fire,Clear,,206,169,130,1932,2254,5,,,Karate Chop,Ember,Karate Chop / Ember,Fire Blast,Flamethrower,Fire Punch,,,,,Fire Blast / Flamethrower / Fire Punch,,,,,,,,,,,,,,,
Pinsir,127,1,Global,4,Wild,,,,,1,63,Solo,,,,,,,,Bug,,Bug,Rain,,238,197,130,2375,2770,5,5,,Rock Smash,Bug Bite,Rock Smash / Bug Bite,Vice Grip,Close Combat,,,,,,Vice Grip / Close Combat,,,,,,,,,,,,,,,
Tauros,128,1,Global,4,Wild,,,,,1,64,Solo,,,,,,,,Normal,,Normal,Partly Cloudy,,198,197,150,2133,2488,3,,,Tackle,Zen Headbutt,Tackle / Zen Headbutt,Earthquake,Iron Head,Horn Attack,,,,,Earthquake / Iron Head / Horn Attack,,,,,,,,,,,,,,,
Magikarp,129,1,Global,2,Wild,1,,Gyarados,400,1,65,Linear - 1,,,,,,,✓,Water,,Water,Rain,,29,102,40,189,220,1,2,,Splash,,Splash,Struggle,,,,,,,Struggle,,,1165,104,125,,,,,,,,,,
Gyarados,130,1,Global,6,Wild,,Magikarp,,,2,65,Linear - 2,,,,,,,✓,Water,Flying,Water / Flying,Rain,Windy,237,197,190,2813,3281,1,,,Bite,Waterfull,Bite / Waterfull,Hydro Pump,Crunch,Outrage,,,,,Hydro Pump / Crunch / Outrage,,,,,,,,,,,,,,,
Lapras,131,1,Global,6,Wild,4,,,,1,66,Solo,,,,,,,,Water,Ice,Water / Ice,Rain,Snow,165,180,260,2555,2603,5,10,,Frost Breath,Water Gun,Frost Breath / Water Gun,Hydro Pump,Surf,Blizzard,,,,,Hydro Pump / Surf / Blizzard,,,21768,1414,1487,,,,,,,,,,
Ditto,132,1,Global,5,Wild,,,,,1,67,Solo,,,,,,,,Normal,,Normal,Partly Cloudy,,91,91,96,616,718,3,,,Transform,,Transform,Struggle,,,,,,,Struggle,,,,,,,,,,,,,,,
Eevee,133,1,Global,2,Wild,,,Vaporeon / Jolteon / Flareon / Umbreon / Espeon / Leafeon / Glaceon / Sylveon,25,1,68,Alt,Alt - 2,,Alt - 2,,Alt - 2,,,Normal,,Normal,Partly Cloudy,,104,121,110,831,969,5,5,,Tackle,Quick Attack,Tackle / Quick Attack,Dig,Swift,,,,,,Dig / Swift,,,,,,,,,,,,,,,
Vaporeon,134,1,Global,4,Wild,,Eevee,,,2a¹,68,Alt - 2,Alt - 2,,Alt - 2,,Alt - 2,,,Water,,Water,Rain,,205,177,260,2706,3157,5,,,Water Gun,,Water Gun,Water Pulse,Hydro Pump,Aqua Tail,,,,,Water Pulse / Hydro Pump / Aqua Tail,,,,,,,,,,,,,,,
Jolteon,135,1,Global,5,Wild,,Eevee,,,2a²,68,Alt - 2,Alt - 2,,Alt - 2,,Alt - 2,,,Electric,,Electric,Rain,,232,201,130,2340,2730,5,,,Thunder Shock,Volt Switch,Thunder Shock / Volt Switch,Thunderbolt,Discharge,Thunder,,,,,Thunderbolt / Discharge / Thunder,,,,,,,,,,,,,,,
Flareon,136,1,Global,5,Wild,,Eevee,,,2a³,68,Alt - 2,Alt - 2,,Alt - 2,,Alt - 2,,,Fire,,Fire,Clear,,246,204,130,2490,2904,5,,,Ember,Fire Spin,Ember / Fire Spin,Fire Blast,Flamethrower,Overheat,,,,,Fire Blast / Flamethrower / Overheat,,,,,,,,,,,,,,,
Porygon,137,1,Global,6,Wild,3,,Porygon2,,1,69,Solo,Linear - 2,,Linear - 3,,,,,Normal,,Normal,Partly Cloudy,,153,139,130,1343,1567,3,10,,Charge Beam,Hidden Power,Charge Beam / Hidden Power,Solar Beam,Hyper Beam,Zap Cannon,,,,,Solar Beam / Hyper Beam / Zap Cannon,,,11419,840,895,,,,,,,,,,
Omanyte,138,1,Global,4,Wild,,,Omastar,50,1,70,Linear - 1,,,,,,,,Rock,Water,Rock / Water,Partly Cloudy,Rain,155,174,70,1153,1345,5,5,,Water Gun,Mud Shot,Water Gun / Mud Shot,Ancient Power,Bubble Beam,Rock Blast,,,,,Ancient Power / Bubble Beam / Rock Blast,,,,,,,,,,,,,,,
Omastar,139,1,Global,6,Wild,3,Omanyte,,,2,70,Linear - 2,,,,,,,,Rock,Water,Rock / Water,Partly Cloudy,Rain,207,227,140,2302,2685,5,,,Water Gun,Mud Shot,Water Gun / Mud Shot,Ancient Power,Hydro Pump,Rock Blast,,,,,Ancient Power / Hydro Pump / Rock Blast,,,18915,1460,1534,,,,,,,,,,
Kabuto,140,1,Global,4,Wild,,,Kabutops,50,1,71,Linear - 1,,,,,,,,Rock,Water,Rock / Water,Partly Cloudy,Rain,148,162,60,1005,1172,5,5,,Scratch,Mud Shot,Scratch / Mud Shot,Aqua Jet,Rock Tomb,Ancient Power,,,,,Aqua Jet / Rock Tomb / Ancient Power,,,,,,,,,,,,,,,
Kabutops,141,1,Global,6,Wild,,Kabuto,,,2,71,Linear - 2,,,,,,,,Rock,Water,Rock / Water,Partly Cloudy,Rain,220,203,120,2158,2517,5,,,Rock Smash,Mud Shot,Rock Smash / Mud Shot,Water Pulse,Stone Edge,Ancient Power,,,,,Water Pulse / Stone Edge / Ancient Power,,,,,,,,,,,,,,,
Aerodactyl,142,1,Global,5,Wild,,,,,1,72,Solo,,,,,,,,Rock,Flying,Rock / Flying,Partly Cloudy,Windy,221,164,160,2236,2608,5,10,,Bite,Steel Wing,Bite / Steel Wing,Iron Head,Hyper Beam,Ancient Power,,,,,Iron Head / Hyper Beam / Ancient Power,,,,,,,,,,,,,,,
Snorlax,143,1,Global,5,Wild,4,Munchlax,,,1,73,Solo,,,Baby,,,,,Normal,,Normal,Partly Cloudy,,190,190,320,2876,3355,5,10,,Lick,Zen Headbutt,Lick / Zen Headbutt,Heavy Slam,Hyper Beam,Earthquake,,,,,Heavy Slam / Hyper Beam / Earthquake,,,25419,1833,1917,,,,,,,,,,
Articuno,144,1,Global,* * *,Raid Only,Old,,,,1,74,Solo,,,,,,,,Ice,Flying,Ice / Flying,Snow,Windy,192,249,180,2514,2933,20,,,Frost Breath,,Frost Breath,Ice Beam,Icy Wind,Blizzard,,,,,Ice Beam / Icy Wind / Blizzard,,,37603,1599,1676,,,,,,,,,,
Zapdos,145,1,Global,* * *,Raid Only,Old,,,,1,75,Solo,,,,,,,,Electric,Flying,Electric / Flying,Rain,Windy,253,188,180,2855,3330,20,,,Charge Beam,,Charge Beam,Zap Cannon,Thunderbolt,Thunder,,,,,Zap Cannon / Thunderbolt / Thunder,,,42691,1820,1902,,,,,,,,,,
Moltres,146,1,Global,* * *,Raid Only,Old,,,,1,76,Solo,,,,,,,,Fire,Flying,Fire / Flying,Clear,Windy,251,184,180,2805,3272,20,,,Fire Spin,,Fire Spin,Fire Blast,Heat Wave,Overheat,,,,,Fire Blast / Heat Wave / Overheat,,,41953,1788,1870,,,,,,,,,,
Dratini,147,1,Global,4,Wild,,,Dragonair,25,1,77,Linear - 1,,,,,,,,Dragon,,Dragon,Windy,,119,94,82,737,860,5,10,,Dragon Breath,Iron Tail,Dragon Breath / Iron Tail,Wrap,Twister,Aqua Tail,,,,,Wrap / Twister / Aqua Tail,,,,,,,,,,,,,,,
Dragonair,148,1,Global,5,Wild,,Dratini,Dragonite,100,2,77,Linear - 2,,,,,,,,Dragon,,Dragon,Windy,,163,138,122,1379,1609,5,,,Dragon Breath,Iron Tail,Dragon Breath / Iron Tail,Wrap,Aqua Tail,Dragon Pulse,,,,,Wrap / Aqua Tail / Dragon Pulse,,,,,,,,,,,,,,,
Dragonite,149,1,Global,6,Wild,,Dragonair,,,3,77,Linear - 3,,,,,,,,Dragon,Flying,Dragon / Flying,Windy,Windy,263,201,182,3070,3581,5,,,Dragon Tail,Steel Wing,Dragon Tail / Steel Wing,Hurricane,Hyper Beam,Outrage,,,,,Hurricane / Hyper Beam / Outrage,,,,,,,,,,,,,,,
Mewtwo,150,1,Global,* * *,Raid Only,Ex,,,,1,78,Solo,,,,,,,,Psychic,,Psychic,Windy,,330,200,212,4081,3982,20,,,Confusion,Psycho Cut,Confusion / Psycho Cut,Psychic,Shadow Ball,Hyper Beam,Focus Blast,,,,Psychic / Shadow Ball / Hyper Beam / Focus Blast,,,49430,2184,2275,,,,,,,,,,
Mew,151,1,Global,* * *,??,,,,,1,79,Solo,,,,,,,,Psychic,,Psychic,Windy,,210,210,200,2649,3090,20,,,Pound,,Pound,Blizzard,Earthquake,Focus Blast,Thunder,Fire Blast,Solar Beam,Hyper Beam,Blizzard / Earthquake / Focus Blast / Thunder / Fire Blast / Solar Beam / Hyper Beam,,,,,,,,,,,,,,,
Chikorita,152,2,Global,4,Wild,,,Bayleef,25,1,80,,Linear - 1,,,,,,,Grass,,Grass,Clear,,92,122,90,687,801,3,5,,Vine Whip,Tackle,Vine Whip / Tackle,Energy Ball,Grass Knot,Body Slam,,,,,Energy Ball / Grass Knot / Body Slam,,,,,,,,,,,,,,,
Bayleef,153,2,Global,5,Wild,,Chikorita,Meganium,100,2,80,,Linear - 2,,,,,,,Grass,,Grass,Clear,,122,155,120,1111,1296,3,,,Razor Leaf,Tackle,Razor Leaf / Tackle,Energy Ball,Grass Knot,Ancient Power,,,,,Energy Ball / Grass Knot / Ancient Power,,,,,,,,,,,,,,,
Meganium,154,2,Global,6,Wild,,Bayleef,,,3,80,,Linear - 3,,,,,,,Grass,,Grass,Clear,,168,202,160,1909,2227,3,,,Razor Leaf,Vine Whip,Razor Leaf / Vine Whip,Petal Blizzard,Solar Beam,Earthquake,,,,,Petal Blizzard / Solar Beam / Earthquake,,,,,,,,,,,,,,,
